detection_percentage_rephrased_response
95.85
30.55
100.0
100.0
79.15
100.0
100.0
35.95
100.0
0.0
78.1
94.87
71.26
72.0
84.35
100.0
54.15
45.34
0.0
23.84
95.68
17.95
76.34
62.89
100.0
100.0
83.8
100.0
11.41
15.35
84.65
67.17
18.01
0.0
100.0
100.0
100.0
85.2
19.14
100.0
100.0
77.12
100.0
41.32
52.5
74.3
68.84
23.17
48.29
91.54
12.23
85.71
80.71
100.0
91.85
0.0
24.71
17.23
0.0
54.25
31.73
64.0
23.11
0.0
66.33
50.22
44.5
100.0
58.33
54.69
96.4
70.28
100.0
32.4
57.47
0.0
20.98
13.15
86.92
90.32
49.62
28.1
84.62
68.38
45.03
0.0
0.0
100.0
0.0
72.57
100.0
0.0
59.33
90.97
31.08
60.7
0.0
63.95
76.81
76.85
85.26
25.0
56.6
79.03
46.75
0.0
10.84
45.64
36.94
0.0
19.39
0.0
34.48
34.0
20.16
0.0
16.36
39.86
0.0
98.68
54.79
38.31
63.6
96.14
16.52
0.0
100.0
38.21
54.1
0.0
59.76
35.48
0.0
56.56
27.5
18.88
0.0
74.17
94.81
90.17
0.0
0.0
47.1
51.05
81.36
19.1
0.0
18.14
100.0
64.95
43.75
0.0
42.53
28.47
0.0
60.87
45.74
46.2
38.37
57.97
26.21
100.0
100.0
100.0
56.79
38.38
91.35
79.29
100.0
100.0
25.42
55.08
32.13
72.63
100.0
0.0
34.39
79.3
0.0
100.0
0.0
64.8
74.58
100.0
65.6
0.0
90.85
82.74
91.24
91.95
100.0
100.0
93.48
100.0
100.0
73.5
100.0
17.26
100.0
64.4
82.08
66.14
36.45
78.21
100.0
100.0
84.97
87.97
85.39
100.0
77.83
27.46
87.72
69.32
78.41
28.39
100.0
100.0
100.0
100.0
23.73
100.0
95.24
56.09
73.14
100.0
75.0
84.62
17.34
58.95
90.38
56.07
84.47
15.53
52.97
94.44
100.0
100.0
58.7
100.0
78.38
0.0
87.16
100.0
85.44
75.0
76.47
0.0
22.64
60.09
100.0
100.0
94.76
33.59
100.0
25.74
91.7
58.53
69.32
56.63
45.33
91.11
100.0
63.7
100.0
100.0
76.89
61.38
79.31
47.47
100.0
0.0
68.92
74.1
49.75
58.01
0.0
88.34
92.56
94.12
55.17
37.4
96.81
51.51
100.0
75.56
23.73
100.0
43.5
17.72
15.37
74.06
0.0
80.04
100.0
100.0
34.13
100.0
41.22
0.0
100.0
0.0
100.0
80.43
0.0
44.72
56.96
100.0
37.85
92.77
100.0
100.0
29.2
0.0
0.0
82.03
0.0
100.0
59.34
58.07
100.0
100.0
77.13
0.0
0.0
66.24
82.8
100.0
21.76
46.02
77.65
100.0
36.73
13.48
32.59
100.0
80.14
37.15
100.0
61.15
88.79
77.62
15.58
100.0
58.87
38.4
42.47
89.46
76.92
22.31
0.0
33.55
0.0
95.31
31.98
34.46
100.0
52.19
93.69
0.0
15.0
51.82
100.0
70.65
87.29
0.0
86.32
100.0
23.51
67.36
100.0
76.79
84.62
100.0
31.94
57.2
91.59
100.0
89.68
49.06
89.92
58.45
28.8
0.0
15.72
72.41
29.65
100.0
28.84
53.03
0.0
49.48
68.67
91.13
47.98
78.33
0.0
100.0
0.0
0.0
100.0
88.11
0.0
64.07
100.0
40.56
100.0
51.43
100.0
51.45
100.0
16.1
60.07
93.72
100.0
71.71
48.67
94.31
79.17
85.84
42.83
0.0
80.2
19.81
89.02
95.49
91.41
47.34
83.43
94.12
0.0
36.96
0.0
100.0
0.0
51.97
95.09
25.33
63.59
0.0
0.0
100.0
100.0
24.4
0.0
62.21
85.78
64.96
11.86
89.29
12.54
0.0
91.53
16.0
68.84
87.64
0.0
0.0
95.03
64.38
59.56
0.0
0.0
23.25
57.67
46.25
76.09
62.8
95.79
77.48
0.0
73.67
87.11
100.0
0.0
24.18
73.65
75.71
70.57
78.95
13.37
0.0
88.09
24.88
49.82
55.93
20.5
75.54
69.51
88.75
54.01
100.0
40.57
94.71
77.25
77.6
0.0
100.0
64.91
43.74
