detection_percentage_characterized_response
100.0
94.83
100.0
100.0
75.68
100.0
88.5
85.21
100.0
100.0
100.0
53.08
20.66
74.6
25.68
87.44
78.02
91.8
100.0
97.69
100.0
100.0
94.94
100.0
0.0
52.75
76.5
100.0
100.0
100.0
96.2
83.99
100.0
87.79
90.35
89.83
100.0
0.0
91.48
100.0
50.59
100.0
0.0
84.13
89.15
100.0
100.0
49.81
83.03
83.69
100.0
100.0
16.2
0.0
0.0
40.33
95.55
75.48
68.18
74.66
55.6
37.14
86.02
67.2
100.0
60.08
94.34
75.58
100.0
22.1
73.48
100.0
34.38
78.63
0.0
52.91
60.07
51.14
54.02
100.0
100.0
100.0
100.0
100.0
100.0
82.5
100.0
100.0
100.0
100.0
100.0
66.27
0.0
50.74
76.56
100.0
100.0
100.0
68.51
61.02
42.18
0.0
57.01
34.76
0.0
100.0
42.34
16.0
44.37
0.0
57.56
0.0
19.39
26.36
82.54
22.33
80.83
66.07
82.07
78.48
66.67
28.42
0.0
100.0
21.32
0.0
89.52
18.87
100.0
76.67
50.83
54.01
94.06
73.61
72.88
87.5
100.0
25.0
0.0
35.84
83.04
0.0
76.56
81.89
7.66
84.04
59.22
38.5
100.0
88.65
100.0
64.78
92.83
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
59.6
72.93
80.07
75.63
100.0
84.3
100.0
23.32
72.04
39.34
81.75
0.0
59.86
100.0
100.0
64.52
100.0
92.75
92.43
100.0
100.0
100.0
100.0
100.0
97.42
81.82
94.0
75.49
100.0
41.73
89.71
80.0
29.26
100.0
100.0
100.0
100.0
100.0
91.79
100.0
100.0
100.0
100.0
100.0
89.7
100.0
100.0
100.0
92.15
79.8
36.38
100.0
100.0
76.85
100.0
55.6
30.26
100.0
43.78
100.0
94.35
82.83
100.0
23.51
85.46
100.0
100.0
100.0
89.64
100.0
100.0
26.57
100.0
100.0
100.0
100.0
85.21
62.57
88.46
82.14
100.0
100.0
100.0
95.56
100.0
100.0
100.0
41.42
100.0
92.31
100.0
100.0
100.0
100.0
100.0
95.11
26.85
100.0
91.27
100.0
100.0
100.0
66.67
100.0
67.68
83.81
100.0
100.0
29.46
49.73
69.62
32.26
77.98
91.45
100.0
82.96
18.14
100.0
60.91
0.0
12.37
100.0
87.5
0.0
100.0
90.83
100.0
100.0
0.0
27.57
0.0
80.43
100.0
100.0
0.0
30.63
95.09
100.0
90.46
100.0
100.0
100.0
100.0
31.05
91.78
61.25
94.31
100.0
100.0
100.0
96.91
100.0
100.0
71.51
100.0
100.0
59.62
100.0
52.01
0.0
91.79
91.79
82.06
51.65
0.0
35.62
100.0
100.0
100.0
100.0
100.0
100.0
100.0
97.22
100.0
100.0
68.73
100.0
100.0
88.24
100.0
74.73
63.43
100.0
70.27
72.8
100.0
60.36
100.0
74.31
100.0
100.0
100.0
18.41
76.42
0.0
62.41
92.74
81.6
100.0
84.23
100.0
82.39
100.0
74.54
100.0
100.0
100.0
86.43
100.0
100.0
42.86
100.0
100.0
100.0
100.0
16.01
100.0
0.0
85.61
100.0
100.0
100.0
24.77
82.69
100.0
36.36
100.0
85.78
100.0
100.0
100.0
17.48
100.0
100.0
0.0
86.36
71.48
100.0
100.0
100.0
82.31
96.75
54.54
100.0
53.16
100.0
100.0
100.0
100.0
100.0
48.05
100.0
0.0
100.0
86.59
93.5
22.96
67.62
86.61
0.0
100.0
100.0
90.1
100.0
100.0
73.73
77.91
100.0
0.0
0.0
100.0
43.06
81.72
0.0
0.0
100.0
100.0
52.89
63.68
32.34
0.0
100.0
100.0
89.18
32.18
100.0
0.0
93.03
100.0
100.0
24.66
86.53
42.95
100.0
100.0
100.0
89.76
93.77
83.15
90.91
94.63
93.63
100.0
41.12
93.66
100.0
86.97
83.9
84.65
48.31
66.32
96.67
89.95
50.56
100.0
0.0
91.37
70.79
59.55
78.19
100.0
32.32
100.0
86.04
86.32
29.34
100.0
20.24
0.0
94.15
88.79
0.0
